label	comment
0	一如既往地好吃，希望可以开到其他城市
0	味道很不错，分量足，客人很多，满意
0	下雨天来的，没有想象中那么火爆。环境非常干净，古色古香的，我自己也是个做服务行业的，我都觉得他们的服务非常好，场地脏了马上就有阿姨打扫。
0	真心不好吃 基本上没得好多味道
0	少送一个牛肉汉堡 而且也不好吃 特别是鸡肉卷 **都不想评论了 谁买谁知道
0	用美团，图打折。
0	好难吃水煮鸡杂呀
0	环境很好，服务很热情，味道非常好，鱼也很新鲜，我和儿子吃的好饱，包子和饺子很好吃哟，
0	一如既往的好吃，个人更喜欢吃全翅
0	四个就把我吃饱了……阔以
0	蛋糕很好吃，送货及时，服务一流啊，下次有机会继续买。
0	肉不好吃#脆香鸡排煲仔饭+半卤蛋##秘制小炒肉煲仔饭+半卤蛋#太辣#功夫烤鸡腿肉煲仔饭+半卤蛋#越吃越没味
1	恶心，不想说了，喝嘴里嚼两下觉得口感不对，吐出来就是只小蟑螂，关键是我还嚼了两口，昨天喝了，恶心到现在，饮食行业麻烦还是注意哈卫生好吗！！！！！
0	巨难吃，一个咸一个酸
0	价格实惠，服务态度很好，分量超足，鸭爪入口即化，软糯，很入味，超辣，推荐！
0	喜欢这个地方，菜品多，味道也不错，最好点个鸳鸯锅，锅底也是20元
0	真的很不错，吃了俩次了，朋友从外地来，特意带她们来吃的，他们回去吃东西都觉得没味，还是咱们重庆火锅好吃，特别喜欢这个地方，特别是重庆老火锅，价格也很实惠，服务态度不错，就是里面太热了，辣的慌，嘻嘻@，
0	很好吃，强力推荐，香菜牛肉果然是招牌菜名不虚传
0	味道不错，份量不足
1	真的无语，上两次还觉得可以，今天这个菠萝包里头奶油都臭了，完全不能吃
0	第二次来吃了，味道还可以，就在金港国际里面，逛累的可以来吃
1	饭里面居然还有虫，好恶心，不想吃了！差评！
1	给一个星星❤️完全是给外卖小哥的，为了给我女朋友送外卖都摔了，心疼。但是这个芒果不能忍，女朋友吃了就拉肚子，分量如图，4年多美团老顾客，第一次外卖给差评
1	吃比萨还有虫子，这是什么商家？
0	送了1个小时，到了东西都冷了
0	点的东西没有加完。
0	性价比算比较高，口味适合我，菜品干净，吃过很多次了
0	东西还是很不错的，蛋糕很好吃，以后还会去买芒果千层来吃的哈哈
0	一如既往喜欢他家的掌中宝和地瓜！和闺蜜去看完电影饿了买来填肚子的。。
0	挺好吃的，人特别的多，服务态度好，环境很干净
0	老板热情，餐馆干净，口味不错，下次再来
0	环境很好，团购也可以享受包房，已到他家吃过多次，菜品也很丰富，份量足，包间还有专门的服务员，很不错，有机会还会来。
0	来吃过好多次了，几天不吃就想，正宗老火锅的味道，毛肚很巴适，特别推荐他家的麻辣牛肉，安逸得板，就是位置有点难找，还有桌子太少了，如果不预订经常都要等
0	不好吃 都是姜 
0	可以 ！可以 ！好吃 ！不错 ！漂亮！高端
0	味道非常不错，四个人三男一女都吃撑了
0	还可以，来得时候没有人，去得早，态度赞！
0	很不错哟~~~~
0	不错  挺好 几次来买了  挺便宜  服务态度不错
0	exo？这是大份，平常在店里吃小份都比这个多好吧，欺骗消费者，呵呵
0	量足，味道不错
0	真的超级划算，分量也挺足的，我和男朋友两个人吃，吃得很撑，就是去了位置不好找，地点就是在网吧里面，然后里面有指示牌
0	环境很好，味道不错，价格也不贵，菜品新鲜
0	味道特别赞！已经吃过好几次了
1	别的味道我先不说   吃了拉肚子才是真的
0	味道很好，药膳的味道。感觉很补
0	感觉味道还是不错的，团购确实便宜些
1	和室友一起吃了全体拉肚子 今天是第二天又拉了三次
0	团购划算些，自家粑粑好吃，就是套餐内的菜不能换
0	开车过来吃的！味道挺好、环境也不错！以后聚餐就这家了！
0	我明明叫的两份稀饭，看不到吗？再也不买了
0	不是毛血旺么.咋是一盆豆芽呢.从来不写评价的我实在忍不住了.本来饿死了.现在没胃口了.啃面包吧…………
1	#【鲜切】海南香蕉王#吃完反胃想吐，整晚都干呕！#《鲜切》苹果#难吃，又不甜！网购第一次差评！放心，如果明天人还是这样，一定会找你们的
0	可以 环境不错 服务不错 味道不错
0	服务很不错，味道有点欠佳，速度比较慢
0	三个字，好难吃！！
0	聚划算！！而且巨好吃！！！ 还送货！！
1	卧槽绝对地沟油，油都是黑色的
0	非常好吃，老板非常大方，吃完后还送一份醪糟汤圆
0	要得酸菜，酸汤，给我的啥子？根本就没有昨晚的好吃
0	这个不是正宗的幸福西饼，特别难吃
0	讲真，味道不怎么样
0	一直都在她家吃的羊肉粉，味道很正宗好吃强烈推荐
0	老顾客了，不仅汤锅很赞，炒菜也超赞！
0	很喜欢很喜欢很喜欢  好便宜的！很划算
0	味道很好，虾肉更是好吃，就是螃蟹有点瘦
0	味道很好很不错
0	吃了一口都不想吃了，太难吃了，肉都变味了，不知道用的什么肉。
0	味道非常不错，都是这家的老客户了。
0	炒饭居然都吵糊了，可能是重庆天气太热了
1	我勒个去  吃到一半吃掉一只蟑螂 刚想吃一下看着不对  太恶心了
0	菜品新鲜，份量足
0	很好喝，妹妹态度也好，去过几次了，爱喝奶茶好
0	排队的人很多牛排有点小，不过配菜挺多的～好评
1	一点芝士都没有，差，差，差，难吃。配送也慢。一点也不开心。
0	辣鸡的一逼，吃了两口就扔了
0	好多人吃，大厅都满了，味道不错，值得
0	很棒，猫猫好可爱！老板很热情，是个放松的好地方
0	第二次到店消费，服务菜品都不错。团购性价比高些，烤鸭味道色、香、味、美。一家人吃得很开心。
0	菜品不错服务周到味道也挺好，就是素菜少了点
0	好   味道挺好的  去了几次了  关键是态度挺好  不会像有些人说的   是团购就会态度不好
0	第二次来啦，榴莲披萨还是那么棒！！意面也很不错
0	非常满意的一次就餐，服务员态度非常的好，上菜速度非常快，下次还会再来的，鲁西肥牛我爱你！
0	挺好的，巧克力的，很好看，性价比高
0	一如既往的好喝，方便不排队，下次还会来
0	全是些海椒不是很好吃
0	菜品比较多，酒水免费，口味也比较好~~~~
0	服务周到，口味也比较好，好评。。。。
0	在机场找到的、味道不错哦，经济又实惠
0	菜品新鲜，物美价廉，朋友们一致好评#麻椒菌花# #梅子酒#
0	就是地方不是很好找 找了两三次 老板人超级好 东西也好吃 推荐推荐
0	就在学林街这里，比较好找。最主要的是干锅味道不错。我和男朋友两个人吃得饱饱的，分量足而且味道好哟～
0	太咸，没法吃，希望大家慎重点餐
1	汉堡里面的肉都是生的。而且还有一个汉堡没有，而且薯条量少又难吃，
0	看起一份很多，其是是骗人的，可能一份只有两根，我点了十五份菜煮了只有一半盒，一个人都不够吃，还花了四十几块钱，完全是尖商，建议点餐的朋友不要再点他们家。味道不好，份量更行
0	好吃，实惠，里面还有免费的蛋炒饭，银耳汤
0	食材新鲜，环境优雅，价格合理，嗯，食材也很充足。各式各样糕点也很漂亮。牛排呀，大虾呀，还有扇贝食材都很新鲜，很好吃，甜点也不错。是回头客哟。
0	还可以，味道一般吧，就是没有下饭的菜
1	泡芙都是霉的，每一个上面都有霉点！昨天晚上买的，今早上才发现！！我居然吃了四五个，想着都要吐了！！
0	还不错，适合三两个朋友一起去喝个早茶。
0	还不错 蛮好吃
0	一如既往的喜欢这里   好吃好吃好吃极了
0	味道不错   菜量一般
1	能告诉我为什么米饭是馊的吗
0	一如既往的好！位置好找，服务态度也可以。最喜欢桂花米酒汤圆！！！#红糖糍粑# #桂花米酒小汤# #脆皮春卷#
0	味道不错 鱼也不错 人很多 挺喜欢的
0	团了好多次啦 很好吃很香 生意很好
0	吃的牛肉粉，味道很好，量也很足，老板态度超级好~ 值得推荐！下次还要去吃~
0	上菜速度快 服务到位 值得推荐
0	经济实惠  味道也不错 下次就选定你们家了  只是有一点同价位也不能换菜 如果能改一下就好了！
0	就在我家对面，非常好，吃的很满意，服务员对我挺好的，还会再去的
1	不知怎么的，泡椒血旺是臭的！
0	环境优雅安静舒适，菜品味道不错
1	刚才掉地上了，说的重新送，是回收的吧，还有一块石头，太垃圾了，等了这么久，摔了我又没有怪你们，还来回收了送来，真的够了
0	菜品很新鲜  环境也不错 就是锅底太贵了
0	味道赞，包装很漂亮，送货也很快，娃娃胸前的三朵粉色花里都有纸片状的固体，不知道是什么，能不能食用
0	味道好，服务态度好。分量足。值得再次来品尝。
0	不错，实惠又好
0	不错，经常来的，吃了N次了，爽歪歪
0	多年老店，味道好，服务好。推荐。
0	除了位置有点难找，其他都挺好，是看着现做的，喝的是奶味重的，挺不错
0	据说不错，帮别人团购的。团购很划算
0	跟同学来过好几次了，好评好评感
1	饭是馊的，怎么看都不想香辣鸡
0	还可以，糊辣壳很有特色，味道也很好，唯一美中不足的是面条，我比较喜欢吃面，南川的面店基本上都试吃过了，总结起来大多数店里的面都是南川本地供货的，南川本地制作的面吃起来碱性很重，口感欠佳，所以我一般只固定吃那么两三家的面。博赛那边也有一家黑娃面，它的面条就很好吃，起初还以为是同一家的诶。当然，我不是说东风路这家黑娃面不好，很好，很有特色，味道也很正宗，若是没我这么挑剔的人，是相当不错的选择。店家若是想要精益求精呢，个人建议可以考虑换家供货商，不知道卖家和对面的重庆小面熟不，她家的面条就挺好，听说是从万盛拿的
0	菜和饭一个餐盒  量少没汤
0	味道很好，分量较足，已经光顾很多次了。
0	突然想和老公想出去打个牙祭，真心没让我失望啊～味道很不错，价格也划算～吃完后真的是扶墙的节奏～老公的评价是：这是我吃过的同类型价位的二人餐里面，性价比最高，评分最高的一家～还会再来哦～梅子酒很加分～一口肉，一口酒～太开心了
1	花甲已经臭掉了、汤汁还有一股馊味
0	味道不错。环境也好，推荐大家去。还有川剧变脸
0	你一如既往的好吃，现烤披萨我喜欢。
0	位置太好找了，味道也很好，就是生意太好等了一会
0	好吃！已经是他们家的常客啦！味道棒棒的！
0	价廉物美，什么都很好
0	味道太差，份量不足，只有5寸，没有比萨奶酪的丝，和大饼一样，还没有自己做的好吃。
0	味道非常棒，强烈推荐，一百还去
0	很满意味道不错已经买过很多次了
0	味道不错 值得一去 很赞 很好吃
0	巴萨奴纳家的牛排已经不是第一次吃了，牛排很不错，菜品种类多，甜品水果也多，每一天都推出不同的主题，感觉良好，希望以后有更多的惊喜
0	环境好，食物好，店员耐心又和气
1	太垃圾了  东西还有臭的
1	饭里有钢丝。第二次了。第一次没说
1	老 子 吃到一个钢丝球 没注意 吞下去了 还有一个铁丝 从嘴里抠了出来 弄得我喉咙都发炎了 ！吞口水都痛！我叫的外卖 完全不知道怎么去跟商家说！！！
0	味道好，环境干净，性价比高，以后常来
0	手枪鸡腿棒棒哒！超级好吃
0	不错，第二次来了
0	味道好，绿豆糕超好吃～～～～～～～～～～～～
0	蛋糕很漂亮，味道也很好。就是叉叉太小了，不好用。
0	菜品很多然后环境也特别好，都团购了几次了，然后每次去的话，都感觉吃得饱饱的
0	环境很好哟~  陪同学来的…味道也不错…  可惜是单反拍的…就不上图了
0	买了两张省了20块，蛋糕挺好吃的。
0	#椒麻兔# #鱼香黄鱼# #爱上蒸蛋# #青椒鱼# 都好吃，周一到周四不用排队很快 ！！！
1	一打开就看到虫子 恶心得一天都吃不下饭...
0	第一次来吃味道挺好我们都很喜欢，以后还要来买
0	菜品新鲜，分量足，老板态度很好，已经来过很多次了
0	在附近找了一家离我们比较近的来吃的，我们吃的双人套餐，价格很实惠，味道也不错，下次还会来的。
1	没有筷子，而且感觉一点都不新鲜，昨天晚上吃了，现在竟然拉肚子
1	吃到一半发现中间有根钢丝球，还拍了照片
0	很不错啦，服务态度也很好，每次去生意都很好，上菜速度还是那么快嘿嘿，经常去呢
0	店面不大，但老板服务什么的一直都特别好，很喜欢去。
1	凉皮有味道了，吃完一天肚子都不舒服，拉肚子，不是第一次在这家吃了，希望有所改进
0	帅哥经理又帅，服务又好，以后会经常光顾他们家，为了帅哥经理去的哦
0	根本没收到外卖～电话也不接……
1	臭臭的，很难吃。各位小主不要点。
0	味道很不错，菜品新鲜！服务周到，店内环境不错，！
0	美团4人，实惠味道不错，重庆人的地道口味
0	菜品口味可以，服务好，环境可以
0	我和朋友都超级满意！首先菜品特别多特别丰富，也很新鲜！饮料也相当多，随便喝！关键味道也很好！环境也很好啊！价格也便宜啊！总之很满意很满意～准备下次带家人来吃！朋友聚会或者家庭聚会都是极好的！
0	少了一份饭不说 补送还那么慢 你们就不能优先处理一下？要不是外卖不可以退鬼还吃这个
1	吃到一半突然有只虫！
